ID,Date,Duration,Language,Length,Transcription
DIRTY_063,00/00/0000,30 min,en,LONG,"عميل مهم السيد أحمد من dubai.
    العمر: cinquantaine. الميزانية: entre 30000 et 34714.
    يبحث عن حقيبة فاخرة beige.
    suit régime Keto. ATTENTION: allergie sévère fruits coque!!!. 
    Sport: kitesurf. رياضي جدا.
    Rappeler en français merci."
DIRTY_064,,court,FR,medium,"🌟 CLIENTE VIP 🌟 Frau Köhler 💼 ancien directeur maintenant consultant ⭐⭐⭐⭐⭐
    Age: ~27 | Budget: $25000 💰💰💰
    🏠 Saint-Tropez | ✈️ travels a lot
    Loves: football 🎾 | Art 🎨 | Music 🎵
    Diet: suit régime Keto 🥗 | ??? ⚠️
    Color: ??? ❤️ | Wife birthday 🎂 coming up!
    Call back ASAP! 📞📞📞"
DIRTY_065,invalid,N/A,fr,N/A,"Client Mr. O'Brien-McIntyre, ne souhaite pas dire. Wants to buy un sac pour business trips. 
    Budget from 7000 to 11895. Habite Milan mais travels often to München et Milano.
    Sport: running. flexitarien. Cuir Noir preferred. N/A."
DIRTY_066,"Client Sr. João Gonçalves Sr. João Gonçalves (doublon??)
    Age 40 ans ou 40 ans ans
    Budget budget di 5000€ / budget di 5000€ euros
    Ville ??? / ???
    ATTENTION: POSSIBLE DUPLICATE: POSSIBLE DUPLICATE:
    pas de restrictions. none. rose-gold. .",01-15-2026,30min,Spanish,SHORT
DIRTY_067,,une demi-heure,autre,medium,"{name: ""M. 李明 (Li Ming)"", age: mid-thirties, 
    budget: ""budget flexible"", city: Hongkong"",
    diet: ""halal, allergy: ""aucune"",
    color: beige, sport"": ""natation""
    ERROR: JSON PARSE FAILED LINE 3}"
DIRTY_068,2026-01-15,très long,italiano,SHORT,"🌟 CLIENTE VIP 🌟 Mme Ñoño García 💼 médecin-chirurgien ⭐⭐⭐⭐⭐
    Age: 30+ | Budget: 5000.000€ 💰💰💰
    🏠 Hong Kong | ✈️ travels a lot
    Loves: N/A 🎾 | Art 🎨 | Music 🎵
    Diet: halal 🥗 | allergie soleil + produits chimiques ⚠️
    Color: beige ❤️ | Wife birthday 🎂 coming up!
    Call back ASAP! 📞📞📞"
DIRTY_069,15/01/2026,half hour,English,SHORT,"CONVERSATION EXCEPTIONNELLE avec MME LEGRAND, étudiant travaille aussi extraordinaire, 
    vraiment un client exceptionnel et extraordinaire qui mérite une attention 
    exceptionnelle et extraordinaire. fifty-two donc dans la tranche d'âge 
    des clients exceptionnels et extraordinaires. Budget budget flexible mais 
    pourrait être plus élevé car client exceptionnel et extraordinaire. 
    Réside à DUBAI une ville exceptionnelle où vivent des gens exceptionnels.
    Pratique marathon de manière exceptionnelle. vegan sauf occasionnellement de façon exceptionnelle.
    aucune. Couleur préférée navy une couleur exceptionnelle.
    Client à rappeler car exceptionnel et extraordinaire pour proposition 
    exceptionnelle collection exceptionnelle prochaine saison exceptionnelle.
    Potentiel lifetime value exceptionnel et extraordinaire vraiment incroyable.
    Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. "
DIRTY_070,00/00/0000,???,italiano,LONG,"From: sales@boutique.com
    To: manager@boutique.com  
    Subject: RE: FW: RE: Client Mrs. Björk Jónsdóttir
    
    -----Original Message-----
    Hi,
    Pls see below client info:
    - twenty eight
    - presupuesto 15000€  
    - 
    - noir leather pref
    
    Rgds,
    
    >>> Previous message truncated...
    
    Sent from my iPhone
    --
    This email is confidential blah blah disclaimer..."
DIRTY_071,???,30min,italiano,LONG,"Client M. DUPONT Jean-Pierre, la trentaine. Wants to buy un sac pour business trips. 
    Budget 5000.000€. Habite NY mais travels often to München et Milano.
    Sport: YOGA. vegan sauf occasionnellement. Cuir cognac preferred. allergique nickel + latex."
DIRTY_072,15.01.26,~30min,multilingual,,Client_72. Francfort. ok.
DIRTY_073,"Client السيد أحمد, around 46. Wants to buy un sac pour business trips. 
    Budget from 5000 to 9927. Habite Singapore mais travels often to München et Milano.
    Sport: Tennis. vegan sauf occasionnellement. Cuir cognac preferred. none.",,half hour,italiano,
DIRTY_074,15/01/2026,30 minutes,Espagnol,longe,"RDV MME LEGRAND le 31/02/2026 à 25:99
    Client depuis 2099, 75 años.
    Anniversaire: hier/demain/bientôt
    Budget 20000EUR à confirmer 30/13/2025
    Rappeler: la semaine prochaine ou le mois dernier
    PARIS. halal. . bordeaux."
DIRTY_075,01-15-2026,N/A,español,short,"RDV Prof. Øystein Ødegård le 31/02/2026 à 25:99
    Client depuis 2099, 61-year-old.
    Anniversaire: hier/demain/bientôt
    Budget 12000$ à confirmer 30/13/2025
    Rappeler: la semaine prochaine ou le mois dernier
    NY. végane strict. allergie soleil + produits chimiques. navy."
DIRTY_076,1/15/26,half hour,DE,LONG,"🌟 CLIENTE VIP 🌟 Mrs. Björk Jónsdóttir 💼 médecin-chirurgien ⭐⭐⭐⭐⭐
    Age: 39 años | Budget: from 15000 to 17896 💰💰💰
    🏠 Zurich | ✈️ travels a lot
    Loves: triathlon 🎾 | Art 🎨 | Music 🎵
    Diet: vegan sauf occasionnellement 🥗 | allergique nickel + latex ⚠️
    Color: rose gold ❤️ | Wife birthday 🎂 coming up!
    Call back ASAP! 📞📞📞"
DIRTY_077,,30 minutes,Italien,longe,"Rendez-vous <script>alert('XSS')</script> avec Mrs. Αλεξάνδρα Παπαδόπουλος.
    <b>Budget:</b> 20000€-23921€ <i>flexible</i>
    <h1>IMPORTANT CLIENT</h1>
    Ville: Singapore <br> Age: 53 años
    DROP TABLE clients; -- juste un test
    <img src=""fake.jpg"" onerror=""alert('hack')"">
    Couleur: BORDEAUX. ???. allergique nickel + latex."
DIRTY_078,2026.01.15,half hour,Espagnol,N/A,"RDV Durand le 31/02/2026 à 25:99
    Client depuis 2099, born 1966.
    Anniversaire: hier/demain/bientôt
    Budget unlimited budget à confirmer 30/13/2025
    Rappeler: la semaine prochaine ou le mois dernier
    Monaco. kosher. intolérances: gluten lactose. BORDEAUX."
DIRTY_079,15.01.26,half hour,N/A,LONG,"🌟 CLIENTE VIP 🌟 M. DUPONT Jean-Pierre 💼 profession libérale ⭐⭐⭐⭐⭐
    Age: 44 years old | Budget: 3000EUR 💰💰💰
    🏠 NY | ✈️ travels a lot
    Loves: YOGA 🎾 | Art 🎨 | Music 🎵
    Diet: végétarien mais mange du poisson 🥗 | intolérances: gluten lactose ⚠️
    Color: BLACK ❤️ | Wife birthday 🎂 coming up!
    Call back ASAP! 📞📞📞"
DIRTY_080,"🌟 CLIENTE VIP 🌟 Dr. Émile François-Marie 💼 ancien directeur maintenant consultant ⭐⭐⭐⭐⭐
    Age: around 73 | Budget: 7000 euros 💰💰💰
    🏠 鳥京 | ✈️ travels a lot
    Loves: ??? 🎾 | Art 🎨 | Music 🎵
    Diet: vegetarian events 🥗 | intolérances: gluten lactose ⚠️
    Color: beige ❤️ | Wife birthday 🎂 coming up!
    Call back ASAP! 📞📞📞",N/A,30 minutes,FR/EN,medium
DIRTY_081,01-15-2026,30 min,francais,,"Rendez-vous <script>alert('XSS')</script> avec Sr. João Gonçalves.
    <b>Budget:</b> from 10000 to 12145 <i>flexible</i>
    <h1>IMPORTANT CLIENT</h1>
    Ville: St Tropez <br> Age: soixantaine
    DROP TABLE clients; -- juste un test
    <img src=""fake.jpg"" onerror=""alert('hack')"">
    Couleur: navy. suit régime Keto. none."
DIRTY_082,???,très long,multilingual,LONG,"CONVERSATION EXCEPTIONNELLE avec Mrs. Αλεξάνδρα Παπαδόπουλος, CEO, CFO, COO extraordinaire, 
    vraiment un client exceptionnel et extraordinaire qui mérite une attention 
    exceptionnelle et extraordinaire. early forties donc dans la tranche d'âge 
    des clients exceptionnels et extraordinaires. Budget 5,000.00$ mais 
    pourrait être plus élevé car client exceptionnel et extraordinaire. 
    Réside à St-Tropez une ville exceptionnelle où vivent des gens exceptionnels.
    Pratique marathon de manière exceptionnelle. suit régime Keto de façon exceptionnelle.
    allergie soleil + produits chimiques. Couleur préférée rose-gold une couleur exceptionnelle.
    Client à rappeler car exceptionnel et extraordinaire pour proposition 
    exceptionnelle collection exceptionnelle prochaine saison exceptionnelle.
    Potentiel lifetime value exceptionnel et extraordinaire vraiment incroyable.
    Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. "
DIRTY_083,1/15/26,30 minutes,Spanish,short,"|Client|Client_83|
    |Age|around 41|
    |Budget|15000$|
    |Ville|TOKYO|
    |Corrupted|data|table|error|format|"
DIRTY_084,,30 min,Spanish,court,"عميل مهم M. François-Xavier من PARIS.
    العمر: mid-thirties. الميزانية: environ 12000€.
    يبحث عن حقيبة فاخرة rose gold.
    vegan sauf occasionnellement. allergie soleil + produits chimiques. 
    Sport: golf. رياضي جدا.
    Rappeler en français merci."
DIRTY_085,31/02/2026,très long,???,medium,Frau Köhler. Milan. ok.
DIRTY_086,2026-01-15,une demi-heure,DE,N/A,"Client . Age: . Budget: . Ville: .
    Sport: ???. Régime: N/A. Allergie: null.
    Couleur: undefined. Profession: NaN.
    TODO: compléter fiche plus tard"
DIRTY_087,2026-01-15,30 minutes,English,long,"Client Mr. O'Brien-McIntyre, late twenties. Wants to buy un sac pour business trips. 
    Budget 25000EUR. Habite MILAN mais travels often to München et Milano.
    Sport: voile. suit régime Keto. Cuir bordeaux preferred. severe shellfish allergy CRITICAL."
DIRTY_088,2026.01.15,environ 30,,long,"RDV Mrs. Björk Jónsdóttir le 31/02/2026 à 25:99
    Client depuis 2099, environ 73.
    Anniversaire: hier/demain/bientôt
    Budget 20k euros à confirmer 30/13/2025
    Rappeler: la semaine prochaine ou le mois dernier
    Tokyo. ???. allergie arachides ET noix. navy."
DIRTY_089,invalid,"From: sales@boutique.com
    To: manager@boutique.com  
    Subject: RE: FW: RE: Client Mrs. Αλεξάνδρα Παπαδόπουλος
    
    -----Original Message-----
    Hi,
    Pls see below client info:
    - CONFIDENTIEL
    - 5.000,00€  
    - Francfort
    - rosé gold leather pref
    
    Rgds,
    
    >>> Previous message truncated...
    
    Sent from my iPhone
    --
    This email is confidential blah blah disclaimer..."
DIRTY_090,01-15-2026,0.5h,German,LONG,"Rendez-vous <script>alert('XSS')</script> avec Mlle Çelik.
    <b>Budget:</b> 25000 – 28852 € <i>flexible</i>
    <h1>IMPORTANT CLIENT</h1>
    Ville: zürich <br> Age: mid-thirties
    DROP TABLE clients; -- juste un test
    <img src=""fake.jpg"" onerror=""alert('hack')"">
    Couleur: blanc. pas de restrictions. allergique nickel + latex."
DIRTY_091,01-15-2026,half hour,Français,LONG,"Client M. 李明 (Li Ming) M. 李明 (Li Ming) (doublon??)
    Age quarante-deux ou quarante-deux ans
    Budget 7k / 7k euros
    Ville TOKYO / TOKYO
    ATTENTION: POSSIBLE DUPLICATE: POSSIBLE DUPLICATE:
    ???. ⚠️ allergies multiples. rose-gold. ???."
DIRTY_092,"Client M. 李明 (Li Ming), 50ans. Wants to buy un sac pour business trips. 
    Budget environ 15000€. Habite Monte-Carlo mais travels often to München et Milano.
    Sport: voile. vegan sauf occasionnellement. Cuir bordeaux preferred. intolérances: gluten lactose.","January 15, 2026",environ 30,Italian,???
DIRTY_093,"Client Sr. José María Pérez-López, quarantaine. Wants to buy un sac pour business trips. 
    Budget 20k. Habite Monaco mais travels often to München et Milano.
    Sport: football. sans gluten sans lactose. Cuir BORDEAUX preferred. severe shellfish allergy CRITICAL.",,???,Spanish,
DIRTY_094,2026-01-15,long,Italien,longe,"Rendez-vous <script>alert('XSS')</script> avec M. François-Xavier.
    <b>Budget:</b> presupuesto 12000€ <i>flexible</i>
    <h1>IMPORTANT CLIENT</h1>
    Ville: francfort <br> Age: 49 ans
    DROP TABLE clients; -- juste un test
    <img src=""fake.jpg"" onerror=""alert('hack')"">
    Couleur: rose-gold. kosher. none."
DIRTY_095,15 janvier 2026,???,Fr,N/A,"|Client|Sr. João Gonçalves|
    |Age|62+|
    |Budget|12000EUR|
    |Ville|MILAN|
    |Corrupted|data|table|error|format|"
DIRTY_096,"عميل مهم Mrs. Björk Jónsdóttir من Saint-Tropez.
    العمر: agé de 64. الميزانية: 10k euros.
    يبحث عن حقيبة فاخرة rosé gold.
    végane strict. ATTENTION: allergie sévère fruits coque!!!. 
    Sport: natation. رياضي جدا.
    Rappeler en français merci.",2026-01-15,30 minutes,francais,longe
DIRTY_097,"Client Mr. O'Brien-McIntyre, around 34. Wants to buy un sac pour business trips. 
    Budget $5000. Habite DUBAI mais travels often to München et Milano.
    Sport: running. regime special. Cuir rose gold preferred. N/A.",2026-01-15,0.5h,FR/EN,SHORT
DIRTY_098,2026-01-15,30 minutes,German,longe,Mme Thérèse André. new york. ok.
DIRTY_099,???,half hour,IT,court,"Euh alors le client c'est Dr. Émile François-Marie voilà euh 
    donc il a genre euh  enfin bon bref
    et donc son budget c'est euh environ euh genre 12000€
    il habite à ah mince comment ça s'appelle euh St Tropez
    donc voilà quoi euh sans gluten sans lactose et puis euh allergie soleil + produits chimiques
    ah oui et il aime le rosé gold voilà c'est tout euh merci"
DIRTY_100,00/00/0000,half hour,multilingual,SHORT,"Client Mme Zoë Bäcker Mme Zoë Bäcker (doublon??)
    Age né en 1970 ou né en 1970 ans
    Budget 30000.000€ / 30000.000€ euros
    Ville Milan / Milan
    ATTENTION: POSSIBLE DUPLICATE: POSSIBLE DUPLICATE:
    végétarien mais mange du poisson. allergique nickel + latex. BORDEAUX. triathlon."
DIRTY_101,invalid,"|Client|m dubois|
    |Age|cinquantaine|
    |Budget|selon modèle|
    |Ville|Frankfurt|
    |Corrupted|data|table|error|format|"
DIRTY_102,00/00/0000,30-45 min,FR/EN,SHORT,"Rendez-vous <script>alert('XSS')</script> avec Client_102.
    <b>Budget:</b> 15K€ <i>flexible</i>
    <h1>IMPORTANT CLIENT</h1>
    Ville: paris <br> Age: fifty-two
    DROP TABLE clients; -- juste un test
    <img src=""fake.jpg"" onerror=""alert('hack')"">
    Couleur: multicolore. . ???."
DIRTY_103,00/00/0000,30 minutes,francais,medium,"{name: ""mme durand marie"", age: 71-year-old, 
    budget: ""from 30000 to 32044"", city: Londre"",
    diet: ""omnivore, allergy: ""allergies alimentaires diverses"",
    color: navy, sport"": ""running""
    ERROR: JSON PARSE FAILED LINE 3}"
DIRTY_104,invalid,environ 30,IT,SHORT,"{name: ""Mme Ñoño García"", age: la trentaine, 
    budget: ""Budget: 20000€"", city: Cote d'Azur"",
    diet: ""regime special, allergy: ""intolérances: gluten lactose"",
    color: ???, sport"": ""triathlon""
    ERROR: JSON PARSE FAILED LINE 3}"
DIRTY_105,invalid,N/A,FR/EN,SHORT,"عميل مهم Sr. José María Pérez-López من zürich.
    العمر: ~46. الميزانية: selon modèle.
    يبحث عن حقيبة فاخرة ???.
    . allergies alimentaires diverses. 
    Sport: ???. رياضي جدا.
    Rappeler en français merci."
DIRTY_106,15.01.26,N/A,EN,short,"عميل مهم M. François-Xavier من Tokyo.
    العمر: mid-thirties. الميزانية: 7000,000€.
    يبحث عن حقيبة فاخرة Noir.
    végétarien mais mange du poisson. pas d'allergie connue. 
    Sport: football. رياضي جدا.
    Rappeler en français merci."
DIRTY_107,15/01/2026,30min,French,LONG,"Client . Age: . Budget: . Ville: .
    Sport: ???. Régime: N/A. Allergie: null.
    Couleur: undefined. Profession: NaN.
    TODO: compléter fiche plus tard"
DIRTY_108,01-15-2026,court,???,short,"CONVERSATION EXCEPTIONNELLE avec Client_108, médecin-chirurgien extraordinaire, 
    vraiment un client exceptionnel et extraordinaire qui mérite une attention 
    exceptionnelle et extraordinaire. ne souhaite pas dire donc dans la tranche d'âge 
    des clients exceptionnels et extraordinaires. Budget unlimited budget mais 
    pourrait être plus élevé car client exceptionnel et extraordinaire. 
    Réside à Inconnu une ville exceptionnelle où vivent des gens exceptionnels.
    Pratique polo de manière exceptionnelle. végétarien mais mange du poisson de façon exceptionnelle.
    allergy nuts, latex, perfumes. Couleur préférée  une couleur exceptionnelle.
    Client à rappeler car exceptionnel et extraordinaire pour proposition 
    exceptionnelle collection exceptionnelle prochaine saison exceptionnelle.
    Potentiel lifetime value exceptionnel et extraordinaire vraiment incroyable.
    Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. "
DIRTY_109,31/02/2026,???,,medium,"Rendez-vous <script>alert('XSS')</script> avec Durand.
    <b>Budget:</b> unlimited budget <i>flexible</i>
    <h1>IMPORTANT CLIENT</h1>
    Ville: paris <br> Age: 47 an
    DROP TABLE clients; -- juste un test
    <img src=""fake.jpg"" onerror=""alert('hack')"">
    Couleur: ???. vegetarian events. aucune."
DIRTY_110,01-15-2026,N/A,German,moyen,"CONVERSATION EXCEPTIONNELLE avec M. Müller-Löwenstein, artiste & designer extraordinaire, 
    vraiment un client exceptionnel et extraordinaire qui mérite une attention 
    exceptionnelle et extraordinaire. 71ans donc dans la tranche d'âge 
    des clients exceptionnels et extraordinaires. Budget $25000 mais 
    pourrait être plus élevé car client exceptionnel et extraordinaire. 
    Réside à NY une ville exceptionnelle où vivent des gens exceptionnels.
    Pratique polo de manière exceptionnelle. omnivore de façon exceptionnelle.
    aucune. Couleur préférée ??? une couleur exceptionnelle.
    Client à rappeler car exceptionnel et extraordinaire pour proposition 
    exceptionnelle collection exceptionnelle prochaine saison exceptionnelle.
    Potentiel lifetime value exceptionnel et extraordinaire vraiment incroyable.
    Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. "
DIRTY_111,31/02/2026,très long,EN,short,"{name: ""Frau Köhler"", age: fifty-two, 
    budget: ""15000€"", city: Mailn"",
    diet: ""végétarien mais mange du poisson, allergy: ""allergy nuts, latex, perfumes"",
    color: Cognac, sport"": ""N/A""
    ERROR: JSON PARSE FAILED LINE 3}"
DIRTY_112,2026-01-15,30m,IT,court,"From: sales@boutique.com
    To: manager@boutique.com  
    Subject: RE: FW: RE: Client Mr. O'Brien-McIntyre
    
    -----Original Message-----
    Hi,
    Pls see below client info:
    - trente-cinq
    - 5000EUR  
    - ZURICH
    - multicolore leather pref
    
    Rgds,
    
    >>> Previous message truncated...
    
    Sent from my iPhone
    --
    This email is confidential blah blah disclaimer..."
DIRTY_113,2026.01.15,30-45 min,Allemand,court,M. François-Xavier. Milan. ok.
DIRTY_114,invalid,30 minutes,French,N/A,"Rendez-vous <script>alert('XSS')</script> avec MME LEGRAND.
    <b>Budget:</b> 15000€ <i>flexible</i>
    <h1>IMPORTANT CLIENT</h1>
    Ville: ??? <br> Age: 58+
    DROP TABLE clients; -- juste un test
    <img src=""fake.jpg"" onerror=""alert('hack')"">
    Couleur: rose gold. végane strict. pas d'allergie connue."
DIRTY_115,N/A,court,en,medium,"Rendez-vous <script>alert('XSS')</script> avec M. Müller-Löwenstein.
    <b>Budget:</b> 30000 € <i>flexible</i>
    <h1>IMPORTANT CLIENT</h1>
    Ville: Francfort <br> Age: 45 ans
    DROP TABLE clients; -- juste un test
    <img src=""fake.jpg"" onerror=""alert('hack')"">
    Couleur: multicolore. végane strict. N/A."
DIRTY_116,2026.01.15,très long,Espagnol,longe,"Client Mrs. Αλεξάνδρα Παπαδόπουλος, mid-thirties. Wants to buy un sac pour business trips. 
    Budget 20000. Habite Londre mais travels often to München et Milano.
    Sport: marathon. vegetarian events. Cuir noir preferred. ???."
DIRTY_117,15 janvier 2026,N/A,deutsch,longe,"CONVERSATION EXCEPTIONNELLE avec Mr. O'Brien-McIntyre, influencer/entrepreneur/model extraordinaire, 
    vraiment un client exceptionnel et extraordinaire qui mérite une attention 
    exceptionnelle et extraordinaire. soixantaine donc dans la tranche d'âge 
    des clients exceptionnels et extraordinaires. Budget 10000 euros mais 
    pourrait être plus élevé car client exceptionnel et extraordinaire. 
    Réside à St Tropez une ville exceptionnelle où vivent des gens exceptionnels.
    Pratique triathlon de manière exceptionnelle. regime special de façon exceptionnelle.
    ATTENTION: allergie sévère fruits coque!!!. Couleur préférée  une couleur exceptionnelle.
    Client à rappeler car exceptionnel et extraordinaire pour proposition 
    exceptionnelle collection exceptionnelle prochaine saison exceptionnelle.
    Potentiel lifetime value exceptionnel et extraordinaire vraiment incroyable.
    Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. Exceptionnel extraordinaire. "
DIRTY_118,1/15/26,30min,plusieurs,LONG,"RDV M. François-Xavier le 31/02/2026 à 25:99
    Client depuis 2099, CONFIDENTIEL.
    Anniversaire: hier/demain/bientôt
    Budget selon modèle à confirmer 30/13/2025
    Rappeler: la semaine prochaine ou le mois dernier
    . vegan sauf occasionnellement. pas d'allergie connue. cognac."
DIRTY_119,invalid,long,FR/EN,N/A,"From: sales@boutique.com
    To: manager@boutique.com  
    Subject: RE: FW: RE: Client Mme Thérèse André
    
    -----Original Message-----
    Hi,
    Pls see below client info:
    - environ 70
    - 3000  
    - DUBAI
    - rose gold leather pref
    
    Rgds,
    
    >>> Previous message truncated...
    
    Sent from my iPhone
    --
    This email is confidential blah blah disclaimer..."
DIRTY_120,invalid,long,deutsch,short,"Client Mr. O'Brien-McIntyre rencontré boutique.
    Ã¢ge: fifty-two -- Caractères encodés: Ã©Ã¨Ãªà 
    Budget: around $12000 â‚¬
    Ville: Cote d'Azur aÃ©roport
    RÃ©gime: végétarien mais mange du poisson
    Couleur: BORDEAUX
    Sport: "
